"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","publisocial.fr/185.194.82.163","443","INFO","HTTP","",""
"pre_128cipher","publisocial.fr/185.194.82.163","443","INFO","No 128 cipher limit bug","",""
"SSLv2","publisocial.fr/185.194.82.163","443","OK","not offered","",""
"SSLv3","publisocial.fr/185.194.82.163","443","OK","not offered","",""
"TLS1","publisocial.fr/185.194.82.163","443","INFO","not offered","",""
"TLS1_1","publisocial.fr/185.194.82.163","443","INFO","not offered","",""
"TLS1_2","publisocial.fr/185.194.82.163","443","OK","offered","",""
"TLS1_3","publisocial.fr/185.194.82.163","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","publisocial.fr/185.194.82.163","443","INFO","not offered","",""
"cipherlist_NULL","publisocial.fr/185.194.82.163","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","publisocial.fr/185.194.82.163","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","publisocial.fr/185.194.82.163","443","OK","not offered","","CWE-327"
"cipherlist_LOW","publisocial.fr/185.194.82.163","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","publisocial.fr/185.194.82.163","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","publisocial.fr/185.194.82.163","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","publisocial.fr/185.194.82.163","443","INFO","not offered","",""
"cipherlist_STRONG","publisocial.fr/185.194.82.163","443","OK","offered","",""
"cipher_order","publisocial.fr/185.194.82.163","443","OK","server","",""
"protocol_negotiated","publisocial.fr/185.194.82.163","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","publisocial.fr/185.194.82.163","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","publisocial.fr/185.194.82.163","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","publisocial.fr/185.194.82.163","443","OK","offered","",""
"FS_ciphers","publisocial.fr/185.194.82.163","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","publisocial.fr/185.194.82.163","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","publisocial.fr/185.194.82.163","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","publisocial.fr/185.194.82.163","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","publisocial.fr/185.194.82.163","443","INFO","yes","",""
"sessionresumption_ticket","publisocial.fr/185.194.82.163","443","INFO","not supported","",""
"sessionresumption_ID","publisocial.fr/185.194.82.163","443","INFO","supported","",""
"TLS_timestamp","publisocial.fr/185.194.82.163","443","INFO","random","",""
"cert_compression","publisocial.fr/185.194.82.163","443","INFO","N/A","",""
"clientAuth","publisocial.fr/185.194.82.163","443","INFO","none","",""
"cert_numbers","publisocial.fr/185.194.82.163","443","INFO","1","",""
"cert_signatureAlgorithm","publisocial.fr/185.194.82.163","443","OK","SHA256 with RSA","",""
"cert_keySize","publisocial.fr/185.194.82.163","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","publisocial.fr/185.194.82.163","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","publisocial.fr/185.194.82.163","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","publisocial.fr/185.194.82.163","443","INFO","17F362E5ED736A82EE7A8233D9D21248","",""
"cert_serialNumberLen","publisocial.fr/185.194.82.163","443","INFO","16","",""
