"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","HTTP","",""
"pre_128cipher","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","No 128 cipher limit bug","",""
"SSLv2","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","not offered","",""
"SSLv3","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","not offered","",""
"TLS1","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","not offered","",""
"TLS1_1","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","not offered","",""
"TLS1_2","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","offered","",""
"TLS1_3","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","not offered","",""
"cipherlist_NULL","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","not offered","","CWE-327"
"cipherlist_LOW","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","not offered","",""
"cipherlist_STRONG_FS","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","offered","",""
"cipher_order-tls1_2","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","server","",""
"cipherorder_TLSv1_2","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","server","",""
"FS","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","offered","",""
"FS_ciphers","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","yes","",""
"sessionresumption_ticket","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","not supported","",""
"sessionresumption_ID","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","supported","",""
"TLS_timestamp","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","random","",""
"cert_compression","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","N/A","",""
"clientAuth","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","none","",""
"cert_numbers","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","1","",""
"cert_signatureAlgorithm","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","SHA256 with RSA","",""
"cert_keySize","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","2DDD8A324885352366B3C04A7DC3A986","",""
"cert_serialNumberLen","bonusmalus.travail-emploi.gouv.fr/185.194.82.150","443","INFO","16","",""
