"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","HTTP","",""
"pre_128cipher","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not offered","",""
"SSLv3","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not offered","",""
"TLS1","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","not offered","",""
"TLS1_1","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","not offered","",""
"TLS1_2","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","offered","",""
"TLS1_3","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","not offered","",""
"cipherlist_NULL","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","not offered","",""
"cipherlist_STRONG","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","offered","",""
"cipherorder_TLSv1_2","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","server","",""
"protocol_negotiated","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","offered","",""
"FS_ciphers","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","yes","",""
"sessionresumption_ticket","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","not supported","",""
"sessionresumption_ID","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","supported","",""
"TLS_timestamp","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","random","",""
"cert_compression","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","N/A","",""
"clientAuth","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","none","",""
"cert_numbers","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","1","",""
"cert_signatureAlgorithm","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","SHA256 with RSA","",""
"cert_keySize","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","767137C65977CE406A29A53853608B00","",""
"cert_serialNumberLen","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","16","",""
"cert_fingerprintSHA1","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","FFF1DD9B8B534151A606C277C8B6118F1FBE99FE","",""
"cert_fingerprintSHA256","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","966C6ABC83825D71FA61317AAC301253DC31E08C5B180259358C5B933B5C6614","",""
"cert","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","-----BEGIN CERTIFICATE----- MIII4zCCBsugAwIBAgIQdnE3xll3zkBqKaU4U2CLADANBgkqhkiG9w0BAQsFADB9 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAy IDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEd MBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjIwMTEyMjMwMDAwWhcN MjMwMTEyMjI1OTU5WjCBtzELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMUEw PwYDVQQKDDhTRUNSRVRBUklBVCBHRU5FUkFMIE1JTklTVEVSRVMgQ0hBUkdFUyBB RkZBSVJFUyBTT0NJQUxFUzEcMBoGA1UECwwTMDAwMiAxMzAwMDY4MDIwMDAxNjEi MCAGA1UEAwwZd3d3LmRhcmVzLnRyYXZhaWwuZ291di5mcjETMBEGA1UEBRMKUzIy NDE1MTM2ODCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALZfuoOK3m/d 8lN4jHRtcATmNOizcUGQIUjLkVn4z4NBkYJsvjfOzE2bsJG5aSQt+GC4CLHN4gb4 P3eX0StfErzIA6ziIp//fS6uzJi0+1dyZUTgY3U99aKu0Po7cn408MVzhuPNIeoL ZypOiaxl3DD2czUTL5OPbeWau4ikHOQ+7vNfGU2fsAXuuxYbXTHSWxBoOwgYFke5 08tlYp1QnWDs2+re8RFJB40mK0k8WGXMiywkfNEtN8cNGW9YptNsS+rp267JIxYD RjkgAV4UYU3ryrZ2qFslbFhtMin+LdRR+d31Wt2nUa/DZeFjUSfJu0vi/G4tgd5x uPTlo5J2yzUCAwEAAaOCBCIwggQeMIHkBggrBgEFBQcBAQSB1zCB1DA2BggrBgEF BQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVy MDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2 aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5k aGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3Nw LmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkG A1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7 BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNl cnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWdu YS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMu Y29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB /wQEAwIFoDB7BgNVHREEdDBygiB3d3cuZGFyZXMudHJhdmFpbC1lbXBsb2kuZ291 di5mcoIcZGFyZXMudHJhdmFpbC1lbXBsb2kuZ291di5mcoIZd3d3LmRhcmVzLnRy YXZhaWwuZ291di5mcoIVZGFyZXMudHJhdmFpbC5nb3V2LmZyMB0GA1UdDgQWBBQ6 rjpcsxa9BoLl3wKLvzrP2d7H0zCCAXwGCisGAQQB1nkCBAIEggFsBIIBaAFmAHYA rfe++nz/EMiLnT2cHj4YarRnKV3PsQwkyoWGNOvcgooAAAF+U54MvgAABAMARzBF AiBVIiFmDExAvQbZalCYxIxioWudf6YhAEkaF3Y0e0CBoAIhAJO07q2gZO+uOOK1 YGP/34FfAXYQFMMEVAKpB+blac/6AHUA6D7Q2j71BjUy51covIlryQPTy9ERa+zr aeF3fW0GvW4AAAF+U54NOQAABAMARjBEAiBbfOlXHLPMlTnOrCpXzbSSUQKBQZSz xBgVz0DsGEgcZgIgc8+Mp1Enfpz6J8TAJ7kCZWW1GkohJUvFVlmC2CRw27gAdQA1 zxkbv7FsV78PrUxtQsu7ticgJlHqP+Eq76gDwzvWTAAAAX5TnhEUAAAEAwBGMEQC IGqtBmetpNlDw+uI3QIGcnV1mddrmA45ZiA3aHWUFNhTAiB2cKOu8svnWy3jZDbe qFEITelIw+Kg3pj8pA2BBMVUfjANBgkqhkiG9w0BAQsFAAOCAgEADKTTWT79l5U3 pxgb1dqynE7gA+B2nmapUIFAuSMie/HElfxRUP3G9blJQYpBsr1zrfXjXWQ+u6bG xCPCxLsbHbV9qatJcv/wOYeDiHN6FECo+yCgGc7UZT1IgFt5lJPx3u0OHUjzBxQW eobmVajq/rt5qJxBijqYBrIlUFaGFj7Uk3G5D473Dr8WKM5FqR5IJFou7BfKTFlP ogzIkZzURfz0ocQPLMEJWKxd3ABd89l6vpDWc6o6R/t1UKk4+gC8d88+Hb/6MVFA FEVc9uKxe9jT5exTa/K/7ouEiRGJsWQQ7VnQVLTjLIAq9S38VocIs/5G7aJ3JYcl ThhMC/F2lW4vf0hZInoBiU6BUXW1NIQ1H8DrtA4X/mtg9+8evEM1BfW/ItC4g2lv Kx3ppEwHHNL+5ZH/LK7bZbcEgUYIznd2136quUD6Ko/f0xu1br2A0a97yUamYxCt /KKAUa0cX/YDShbqfwLbzevjNWzVXwyx7FruB6fyMz8skk4zMaP28NqIISM4Aeuu IT1KC32s0dVUQf6zD2PRMpRONl2RoXZ8u0lup2WPntw4yUr9Q+NQwr/rF3F5Sb0i Jak9YD7YOomr//9ol8uctSSM4R7p5NDfnyEHqtiCgiuz5jO6WeXYH1mHlXcCMmr/ m56Hsv0itniLbc6DFT/miBu8hemE6JY= -----END CERTIFICATE-----","",""
"cert_commonName","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","www.dares.travail.gouv.fr","",""
"cert_commonName_wo_SNI","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","dares.travail-emploi.gouv.fr","",""
"cert_subjectAltName","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","www.dares.travail-emploi.gouv.fr dares.travail-emploi.gouv.fr www.dares.travail.gouv.fr dares.travail.gouv.fr","",""
"cert_trust","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","Ok via SAN (works w/o SNI)","",""
"cert_chain_of_trust","dares.travail-emploi.gouv.fr/185.194.82.70","443","CRITICAL","Some certificate trust checks failed -> Java (chain incomplete)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","no","",""
"cert_expirationStatus","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","165 >= 60 days","",""
"cert_notBefore","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","2022-01-12 23:00","",""
"cert_notAfter","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","2023-01-12 22:59","",""
"cert_extlifeSpan","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","not present","",""
"cert_crlDistributionPoints","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","dares.travail-emploi.gouv.fr/185.194.82.70","443","LOW","not offered","",""
"cert_mustStapleExtension","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","--","",""
"DNS_CAArecord","dares.travail-emploi.gouv.fr/185.194.82.70","443","LOW","--","",""
"certificate_transparency","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","yes (certificate extension)","",""
"certs_countServer","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","2","",""
"certs_list_ordering_problem","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","no","",""
"cert_caIssuers","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","-----BEGIN CERTIFICATE----- MIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0 aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYT AkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgx MDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRD ZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoC ggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10 tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsS Y66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa 5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtB ZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rry GidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZsz N76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6Q zNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QW Fd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabj zc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OH nlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB 1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQU rOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF 9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAP BgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEB AAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9y aXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3Jp dGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8v YXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDAp oCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeG JWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcN AQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBIN bRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW +oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4b y6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjm kczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhn DWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ= -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","-1 seconds from localtime","",""
"HTTP_headerTime","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","1659235285","",""
"HSTS","dares.travail-emploi.gouv.fr/185.194.82.70","443","LOW","not offered","",""
"HPKP","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","Apache","",""
"banner_application","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","No application banner found","",""
"cookie_count","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","1 at '/'","",""
"cookie_secure","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","All (1) at '/' marked as secure","",""
"cookie_httponly","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","All (1) at '/' marked as HttpOnly","",""
"cookie_bigip_f5","dares.travail-emploi.gouv.fr/185.194.82.70","443","MEDIUM","Information leakage: F5 cookie BIGipServerpool-dares-site-v2.cegedim.cloud-HTTP 1153718538.20480.0000 is default IPv4 pool member 10.89.196.68:80","","CWE-212"
"X-Frame-Options","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","nosniff","",""
"Permissions-Policy","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","interest-cohort=()","",""
"X-UA-Compatible","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","IE=edge","",""
"Cache-Control","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","must-revalidate, no-cache, private","",""
"banner_reverseproxy","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","--","","CWE-200"
"heartbleed","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","supported","","CWE-310"
"secure_client_renego","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable, mitigated","CVE-2011-1473","CWE-310"
"CRIME_TLS","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","dares.travail-emploi.gouv.fr/185.194.82.70","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=966C6ABC83825D71FA61317AAC301253DC31E08C5B180259358C5B933B5C6614","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","dares.travail-emploi.gouv.fr/185.194.82.70","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_X","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_11","dares.travail-emploi.gouv.fr/185.194.82.70","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
