"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","HTTP","",""
"pre_128cipher","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","No 128 cipher limit bug","",""
"SSLv2","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","not offered","",""
"SSLv3","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","not offered","",""
"TLS1","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","not offered","",""
"TLS1_1","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","not offered","",""
"TLS1_2","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","offered","",""
"TLS1_3","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","not offered","",""
"cipherlist_NULL","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","not offered","","CWE-327"
"cipherlist_LOW","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","siao-preprod.cegedim-hds.fr/185.113.40.47","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","offered","",""
"cipherlist_STRONG","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","offered","",""
"cipherorder_TLSv1_2","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","server","",""
"protocol_negotiated","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","offered","",""
"FS_ciphers","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","yes","",""
"sessionresumption_ticket","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","not supported","",""
"sessionresumption_ID","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","supported","",""
"TLS_timestamp","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","random","",""
"cert_compression","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","N/A","",""
"clientAuth","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","none","",""
"cert_numbers","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","1","",""
"cert_signatureAlgorithm","siao-preprod.cegedim-hds.fr/185.113.40.47","443","OK","SHA256 with RSA","",""
"cert_keySize","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","siao-preprod.cegedim-hds.fr/185.113.40.47","443","INFO","0F037102C7C3359A7D594658FF9C3981","",""
