"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","HTTP","",""
"pre_128cipher","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","No 128 cipher limit bug","",""
"SSLv2","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","not offered","",""
"SSLv3","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","not offered","",""
"TLS1","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","not offered","",""
"TLS1_1","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","not offered","",""
"TLS1_2","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","offered","",""
"TLS1_3","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","not offered","",""
"cipherlist_NULL","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","not offered","","CWE-327"
"cipherlist_LOW","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","not offered","",""
"cipherlist_STRONG","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","offered","",""
"cipher_order","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","server","",""
"protocol_negotiated","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","offered","",""
"FS_ciphers","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","decouvrirlemonde.jeunes.gouv.fr/185.194.82.51","443","INFO","yes","",""
