"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","HTTP","",""
"pre_128cipher","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","not offered","",""
"SSLv3","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","not offered","",""
"TLS1","www.sipsi.travail.gouv.fr/164.131.131.49","443","LOW","offered (deprecated)","",""
"TLS1_1","www.sipsi.travail.gouv.fr/164.131.131.49","443","LOW","offered (deprecated)","",""
"TLS1_2","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","offered","",""
"TLS1_3","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","not offered","",""
"cipherlist_NULL","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.sipsi.travail.gouv.fr/164.131.131.49","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","www.sipsi.travail.gouv.fr/164.131.131.49","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","offered","",""
"cipherlist_STRONG","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","offered","",""
"cipher_order","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","server","",""
"protocol_negotiated","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","DHE-RSA-AES256-GCM-SHA384, 1024 bit DH","",""
"cipherorder_TLSv1","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","DHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_1","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","DHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_2","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","DHE-RSA-AES256-GCM-SHA384","",""
"FS","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","offered","",""
"FS_ciphers","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","'renegotiation info/#65281'","",""
"TLS_session_ticket","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","yes","",""
"sessionresumption_ticket","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","not supported","",""
"sessionresumption_ID","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","supported","",""
"TLS_timestamp","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","random","",""
"cert_compression","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","N/A","",""
"clientAuth","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","none","",""
"cert_numbers","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","1","",""
"cert_signatureAlgorithm","www.sipsi.travail.gouv.fr/164.131.131.49","443","OK","SHA256 with RSA","",""
"cert_keySize","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","0F646B245D3B5BF6EB5467EADEA351CE","",""
"cert_serialNumberLen","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","16","",""
"cert_fingerprintSHA1","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","98D85B17E9AD91312C07C6305A64C32EABB98AE4","",""
"cert_fingerprintSHA256","www.sipsi.travail.gouv.fr/164.131.131.49","443","INFO","C36508434B7D07F431AFB0A9D1A1A6968BF3A4CD5FBE2353ADB23285FD7DB3E2","",""
