"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","HTTP","",""
"pre_128cipher","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","not offered","",""
"SSLv3","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","not offered","",""
"TLS1","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","not offered","",""
"TLS1_1","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","not offered","",""
"TLS1_2","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","offered","",""
"TLS1_3","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","offered with final","",""
"ALPN_HTTP2","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","h2","",""
"ALPN","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","http/1.1","",""
"cipherlist_NULL","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","not offered","",""
"cipherlist_STRONG_FS","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","offered","",""
"cipher_order-tls1_2","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","server","",""
"cipherorder_TLSv1_2","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","server","",""
"FS","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","offered","",""
"FS_ciphers","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","yes","",""
"sessionresumption_ticket","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","not supported","",""
"sessionresumption_ID","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","supported","",""
"TLS_timestamp","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","random","",""
"certificate_compression","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","none","",""
"clientAuth","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","none","",""
"cert_numbers","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","1","",""
"cert_signatureAlgorithm","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","SHA256 with RSA","",""
"cert_keySize","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","9E7D6387432299978A9B031C7951F19E","",""
"cert_serialNumberLen","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","16","",""
"cert_fingerprintSHA1","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","AD9F7FE9BF38FD5F261B40078F269A175DBB83BA","",""
"cert_fingerprintSHA256","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","24214E2EC4F5CBAA99ACB904878D1914665926AB2703264153E29BA70D3BCF72","",""
"cert","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDcDCCAligAwIBAgIRAJ59Y4dDIpmXipsDHHlR8Z4wDQYJKoZIhvcNAQELBQAwSzEQMA4GA1UEChMHQWNtZSBDbzE3MDUGA1UEAxMuS3ViZXJuZXRlcyBJbmdyZXNzIENvbnRyb2xsZXIgRmFrZSBDZXJ0aWZpY2F0ZTAeFw0yNDEyMDIxOTAzNTFaFw0yNTEyMDIxOTAzNTFaMEsxEDAOBgNVBAoTB0FjbWUgQ28xNzA1BgNVBAMTLkt1YmVybmV0ZXMgSW5ncmVzcyBDb250cm9sbGVyIEZha2UgQ2VydGlmaWNhdGUwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDAgcY1endHHDtK3SonzIxwz7KlHCQtDSF5G7dFfOCCqtz7pIGkwQtK8rz5+mRPxlPY/x8rLG23/zFnB0coHqUq8w46tM46rGQdsyzdyjeLVFXEzKJ7jdomQ4bd7kfZeyf86k3n1M+1S4aqGI42xexe4j1eYDQu7Kcm1TMeJbweMxhk7jAVys6XRGD2VCC3PFdZegq5eKi9Cv/ed4r81cLFsEMM8eyTIV8R58fK3VfH3IUOFNWvgNog5gynitJDJswAewwYLr0ucTjfcb6Fz1KXOulsOynlRoqdbMaXURYuh0OO9s8OToG886qYXmnzxpbzMJ8fRaTnWB/+hvNNe0k3AgMBAAGjTzBNMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMBgGA1UdEQQRMA+CDWluZ3Jlc3MubG9jYWwwDQYJKoZIhvcNAQELBQADggEBALrUN1IeOEYXUOuE40ycb5xhP9rTPqii+4UHVFAz1wFKlM2xkPQpdqBn3W2pO+qtOp8oWMrRbElp7l1CGcdSmLVybCsmtPtnmF/27Q5L5aYXWAzk+tUiyMoqQnibXLTOBgH2B4ivlJ/dRlWuD70XVLyM2DXDOmBA0oz5QoXKN/TWr2aivp4QpTI6KTavuJUzyBn3zo0YCwyYJC1OjfepzmALmnDkWr2PKXC5y8cZZJyP+iQ8fGeI1+nbm/q9o1F9ehIDkBjqq8FVLdRYhv7atxkC5eI8fwUcbU+49CtGMaTJFKlzNwMJ7NatltOsLi4vekrXIv76enu3kDJVAsVw2cc=\n-----END CERTIFICATE-----","",""
"cert_commonName","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","Kubernetes Ingress Controller Fake Certificate","",""
"cert_commonName_wo_SNI","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","Kubernetes Ingress Controller Fake Certificate","",""
"cert_subjectAltName","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","ingress.local","",""
"cert_trust","lca-wp.sbx.synaltic.app/135.125.84.250","443","HIGH","certificate does not match supplied URI (same w/o SNI)","",""
"cert_chain_of_trust","lca-wp.sbx.synaltic.app/135.125.84.250","443","CRITICAL","failed (chain incomplete).","",""
"cert_certificatePolicies_EV","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","no","",""
"cert_expirationStatus","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","275 >= 60 days","",""
"cert_notBefore","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","2024-12-02 19:03","",""
"cert_notAfter","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","2025-12-02 19:03","",""
"cert_extlifeSpan","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","not present","",""
"cert_crlDistributionPoints","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","--","",""
"cert_ocspURL","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","--","",""
"cert_revocation","lca-wp.sbx.synaltic.app/135.125.84.250","443","HIGH","Neither CRL nor OCSP URI provided","",""
"OCSP_stapling","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","not offered","",""
"cert_mustStapleExtension","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","--","",""
"DNS_CAArecord","lca-wp.sbx.synaltic.app/135.125.84.250","443","LOW","--","",""
"certificate_transparency","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","--","",""
"certs_countServer","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","1","",""
"certs_list_ordering_problem","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","no","",""
"cert_caIssuers","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","Kubernetes Ingress Controller Fake Certificate (Acme Co)","",""
"intermediate_cert_badOCSP","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","404 Not Found ('/')","",""
"HTTP_clock_skew","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","1740899372","",""
"HSTS_time","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","365 days (=31536000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","lca-wp.sbx.synaltic.app/135.125.84.250","443","OK","includes subdomains","",""
"HSTS_preload","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","domain is NOT marked for preloading","",""
"HPKP","lca-wp.sbx.synaltic.app/135.125.84.250","443","INFO","No support for HTTP Public Key Pinning","",""
