"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","HTTP","",""
"pre_128cipher","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","not offered","",""
"SSLv3","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","not offered","",""
"TLS1","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","not offered","",""
"TLS1_1","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","not offered","",""
"TLS1_2","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","offered","",""
"TLS1_3","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","not offered","",""
"cipherlist_NULL","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","not offered","",""
"cipherlist_STRONG","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","offered","",""
"cipher_order","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","server","",""
"protocol_negotiated","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","offered","",""
"FS_ciphers","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","yes","",""
"sessionresumption_ticket","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","not supported","",""
"sessionresumption_ID","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","supported","",""
"TLS_timestamp","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","random","",""
"cert_compression","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","N/A","",""
"clientAuth","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","none","",""
"cert_numbers","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","1","",""
"cert_signatureAlgorithm","simulateurap.emploi.gouv.fr/185.194.82.153","443","OK","SHA256 with RSA","",""
"cert_keySize","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","BC674B10C7227FC731B8DF1A21158E10","",""
"cert_serialNumberLen","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","16","",""
"cert_fingerprintSHA1","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","992406DB0DFC67A8AFD06A84ED53DC8946ECE24A","",""
"cert_fingerprintSHA256","simulateurap.emploi.gouv.fr/185.194.82.153","443","INFO","759ACA7E8B4D0CB84D088671D4F49887259F64B03A5EE3EDE65ED4E77CE4CDC1","",""
