"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cnle.gouv.fr/185.194.82.141","443","INFO","HTTP","",""
"pre_128cipher","cnle.gouv.fr/185.194.82.141","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cnle.gouv.fr/185.194.82.141","443","OK","not offered","",""
"SSLv3","cnle.gouv.fr/185.194.82.141","443","OK","not offered","",""
"TLS1","cnle.gouv.fr/185.194.82.141","443","INFO","not offered","",""
"TLS1_1","cnle.gouv.fr/185.194.82.141","443","INFO","not offered","",""
"TLS1_2","cnle.gouv.fr/185.194.82.141","443","OK","offered","",""
"TLS1_3","cnle.gouv.fr/185.194.82.141","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","cnle.gouv.fr/185.194.82.141","443","INFO","not offered","",""
"cipherlist_NULL","cnle.gouv.fr/185.194.82.141","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cnle.gouv.fr/185.194.82.141","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cnle.gouv.fr/185.194.82.141","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cnle.gouv.fr/185.194.82.141","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cnle.gouv.fr/185.194.82.141","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cnle.gouv.fr/185.194.82.141","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cnle.gouv.fr/185.194.82.141","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cnle.gouv.fr/185.194.82.141","443","OK","offered","",""
"cipher_order-tls1_2","cnle.gouv.fr/185.194.82.141","443","OK","server","",""
"cipherorder_TLSv1_2","cnle.gouv.fr/185.194.82.141","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","cnle.gouv.fr/185.194.82.141","443","OK","server","",""
"FS","cnle.gouv.fr/185.194.82.141","443","OK","offered","",""
"FS_ciphers","cnle.gouv.fr/185.194.82.141","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cnle.gouv.fr/185.194.82.141","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","cnle.gouv.fr/185.194.82.141","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","cnle.gouv.fr/185.194.82.141","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cnle.gouv.fr/185.194.82.141","443","INFO","yes","",""
"sessionresumption_ticket","cnle.gouv.fr/185.194.82.141","443","INFO","not supported","",""
"sessionresumption_ID","cnle.gouv.fr/185.194.82.141","443","INFO","supported","",""
"TLS_timestamp","cnle.gouv.fr/185.194.82.141","443","INFO","random","",""
"cert_compression","cnle.gouv.fr/185.194.82.141","443","INFO","N/A","",""
"clientAuth","cnle.gouv.fr/185.194.82.141","443","INFO","none","",""
"cert_numbers","cnle.gouv.fr/185.194.82.141","443","INFO","1","",""
"cert_signatureAlgorithm","cnle.gouv.fr/185.194.82.141","443","OK","SHA256 with RSA","",""
"cert_keySize","cnle.gouv.fr/185.194.82.141","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cnle.gouv.fr/185.194.82.141","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cnle.gouv.fr/185.194.82.141","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","cnle.gouv.fr/185.194.82.141","443","INFO","1F56CF2E5BD136ADD195724B81786315","",""
"cert_serialNumberLen","cnle.gouv.fr/185.194.82.141","443","INFO","16","",""
"cert_fingerprintSHA1","cnle.gouv.fr/185.194.82.141","443","INFO","F42F793F9A8B2960CD6951DBD0D33CFDDDF3D002","",""
