"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ivg.gouv.fr/185.194.81.40","443","INFO","HTTP","",""
"pre_128cipher","ivg.gouv.fr/185.194.81.40","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ivg.gouv.fr/185.194.81.40","443","OK","not offered","",""
"SSLv3","ivg.gouv.fr/185.194.81.40","443","OK","not offered","",""
"TLS1","ivg.gouv.fr/185.194.81.40","443","INFO","not offered","",""
"TLS1_1","ivg.gouv.fr/185.194.81.40","443","INFO","not offered","",""
"TLS1_2","ivg.gouv.fr/185.194.81.40","443","OK","offered","",""
"TLS1_3","ivg.gouv.fr/185.194.81.40","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","ivg.gouv.fr/185.194.81.40","443","INFO","not offered","",""
"cipherlist_NULL","ivg.gouv.fr/185.194.81.40","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ivg.gouv.fr/185.194.81.40","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ivg.gouv.fr/185.194.81.40","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ivg.gouv.fr/185.194.81.40","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ivg.gouv.fr/185.194.81.40","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","ivg.gouv.fr/185.194.81.40","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","ivg.gouv.fr/185.194.81.40","443","INFO","not offered","",""
"cipherlist_STRONG","ivg.gouv.fr/185.194.81.40","443","OK","offered","",""
"cipherorder_TLSv1_2","ivg.gouv.fr/185.194.81.40","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","ivg.gouv.fr/185.194.81.40","443","OK","server","",""
"protocol_negotiated","ivg.gouv.fr/185.194.81.40","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","ivg.gouv.fr/185.194.81.40","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","ivg.gouv.fr/185.194.81.40","443","OK","offered","",""
"FS_ciphers","ivg.gouv.fr/185.194.81.40","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ivg.gouv.fr/185.194.81.40","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","ivg.gouv.fr/185.194.81.40","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","ivg.gouv.fr/185.194.81.40","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ivg.gouv.fr/185.194.81.40","443","INFO","yes","",""
"sessionresumption_ticket","ivg.gouv.fr/185.194.81.40","443","INFO","not supported","",""
"sessionresumption_ID","ivg.gouv.fr/185.194.81.40","443","INFO","supported","",""
"TLS_timestamp","ivg.gouv.fr/185.194.81.40","443","INFO","random","",""
"cert_compression","ivg.gouv.fr/185.194.81.40","443","INFO","N/A","",""
"clientAuth","ivg.gouv.fr/185.194.81.40","443","INFO","none","",""
"cert_numbers","ivg.gouv.fr/185.194.81.40","443","INFO","1","",""
"cert_signatureAlgorithm","ivg.gouv.fr/185.194.81.40","443","OK","SHA256 with RSA","",""
"cert_keySize","ivg.gouv.fr/185.194.81.40","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ivg.gouv.fr/185.194.81.40","443","INFO","Digital Signature, Key Encipherment","",""
