"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","HTTP","",""
"pre_128cipher","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","No 128 cipher limit bug","",""
"SSLv2","alternance.emploi.gouv.fr/185.194.82.123","443","OK","not offered","",""
"SSLv3","alternance.emploi.gouv.fr/185.194.82.123","443","OK","not offered","",""
"TLS1","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","not offered","",""
"TLS1_1","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","not offered","",""
"TLS1_2","alternance.emploi.gouv.fr/185.194.82.123","443","OK","offered","",""
"TLS1_3","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","not offered","",""
"cipherlist_NULL","alternance.emploi.gouv.fr/185.194.82.123","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","alternance.emploi.gouv.fr/185.194.82.123","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","alternance.emploi.gouv.fr/185.194.82.123","443","OK","not offered","","CWE-327"
"cipherlist_LOW","alternance.emploi.gouv.fr/185.194.82.123","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","not offered","",""
"cipherlist_STRONG_FS","alternance.emploi.gouv.fr/185.194.82.123","443","OK","offered","",""
"cipher_order-tls1_2","alternance.emploi.gouv.fr/185.194.82.123","443","OK","server","",""
"cipherorder_TLSv1_2","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","alternance.emploi.gouv.fr/185.194.82.123","443","OK","server","",""
"FS","alternance.emploi.gouv.fr/185.194.82.123","443","OK","offered","",""
"FS_ciphers","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","alternance.emploi.gouv.fr/185.194.82.123","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","yes","",""
"sessionresumption_ticket","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","not supported","",""
"sessionresumption_ID","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","supported","",""
"TLS_timestamp","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","random","",""
"cert_compression","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","N/A","",""
"clientAuth","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","none","",""
"cert_numbers","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","1","",""
"cert_signatureAlgorithm","alternance.emploi.gouv.fr/185.194.82.123","443","OK","SHA256 with RSA","",""
"cert_keySize","alternance.emploi.gouv.fr/185.194.82.123","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","7535D0228A5A4488CB1A200A0C9FD9E1","",""
"cert_serialNumberLen","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","16","",""
"cert_fingerprintSHA1","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","820EBFB2A92ACF6C05A9110C132BBD2E3A15D81D","",""
"cert_fingerprintSHA256","alternance.emploi.gouv.fr/185.194.82.123","443","INFO","15BC4558120A2E7DA3EBBB07C8141562E195733680A72A95FBCAB37844BA651D","",""
