"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","injep.fr/185.194.82.168","443","INFO","HTTP","",""
"pre_128cipher","injep.fr/185.194.82.168","443","INFO","No 128 cipher limit bug","",""
"SSLv2","injep.fr/185.194.82.168","443","OK","not offered","",""
"SSLv3","injep.fr/185.194.82.168","443","OK","not offered","",""
"TLS1","injep.fr/185.194.82.168","443","INFO","not offered","",""
"TLS1_1","injep.fr/185.194.82.168","443","INFO","not offered","",""
"TLS1_2","injep.fr/185.194.82.168","443","OK","offered","",""
"TLS1_3","injep.fr/185.194.82.168","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","injep.fr/185.194.82.168","443","INFO","not offered","",""
"cipherlist_NULL","injep.fr/185.194.82.168","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","injep.fr/185.194.82.168","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","injep.fr/185.194.82.168","443","OK","not offered","","CWE-327"
"cipherlist_LOW","injep.fr/185.194.82.168","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","injep.fr/185.194.82.168","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","injep.fr/185.194.82.168","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","injep.fr/185.194.82.168","443","INFO","not offered","",""
"cipherlist_STRONG_FS","injep.fr/185.194.82.168","443","OK","offered","",""
"cipher_order-tls1_2","injep.fr/185.194.82.168","443","OK","server","",""
"cipherorder_TLSv1_2","injep.fr/185.194.82.168","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","injep.fr/185.194.82.168","443","OK","server","",""
"FS","injep.fr/185.194.82.168","443","OK","offered","",""
"FS_ciphers","injep.fr/185.194.82.168","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","injep.fr/185.194.82.168","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","injep.fr/185.194.82.168","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","injep.fr/185.194.82.168","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","injep.fr/185.194.82.168","443","INFO","yes","",""
"sessionresumption_ticket","injep.fr/185.194.82.168","443","INFO","not supported","",""
"sessionresumption_ID","injep.fr/185.194.82.168","443","INFO","supported","",""
"TLS_timestamp","injep.fr/185.194.82.168","443","INFO","random","",""
"cert_compression","injep.fr/185.194.82.168","443","INFO","N/A","",""
"clientAuth","injep.fr/185.194.82.168","443","INFO","none","",""
"cert_numbers","injep.fr/185.194.82.168","443","INFO","1","",""
"cert_signatureAlgorithm","injep.fr/185.194.82.168","443","OK","SHA256 with RSA","",""
"cert_keySize","injep.fr/185.194.82.168","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","injep.fr/185.194.82.168","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","injep.fr/185.194.82.168","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","injep.fr/185.194.82.168","443","INFO","78114973B76CA3839B7B6470C3DC37BD","",""
"cert_serialNumberLen","injep.fr/185.194.82.168","443","INFO","16","",""
"cert_fingerprintSHA1","injep.fr/185.194.82.168","443","INFO","D45DC15C366D0E1AC6290618394002CA6364FE70","",""
"cert_fingerprintSHA256","injep.fr/185.194.82.168","443","INFO","115AA5F0999BC0515B5310911CF77D865E9C784146D0610737946195A7BFB1D4","",""
