"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cnaop.gouv.fr/185.194.82.142","443","INFO","HTTP","",""
"pre_128cipher","cnaop.gouv.fr/185.194.82.142","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cnaop.gouv.fr/185.194.82.142","443","OK","not offered","",""
"SSLv3","cnaop.gouv.fr/185.194.82.142","443","OK","not offered","",""
"TLS1","cnaop.gouv.fr/185.194.82.142","443","INFO","not offered","",""
"TLS1_1","cnaop.gouv.fr/185.194.82.142","443","INFO","not offered","",""
"TLS1_2","cnaop.gouv.fr/185.194.82.142","443","OK","offered","",""
"TLS1_3","cnaop.gouv.fr/185.194.82.142","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","cnaop.gouv.fr/185.194.82.142","443","INFO","not offered","",""
"cipherlist_NULL","cnaop.gouv.fr/185.194.82.142","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cnaop.gouv.fr/185.194.82.142","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cnaop.gouv.fr/185.194.82.142","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cnaop.gouv.fr/185.194.82.142","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cnaop.gouv.fr/185.194.82.142","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","cnaop.gouv.fr/185.194.82.142","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","cnaop.gouv.fr/185.194.82.142","443","OK","offered","",""
"cipherlist_STRONG","cnaop.gouv.fr/185.194.82.142","443","OK","offered","",""
"cipher_order-tls1_2","cnaop.gouv.fr/185.194.82.142","443","OK","server","",""
"cipherorder_TLSv1_2","cnaop.gouv.fr/185.194.82.142","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cnaop.gouv.fr/185.194.82.142","443","OK","server","",""
"protocol_negotiated","cnaop.gouv.fr/185.194.82.142","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","cnaop.gouv.fr/185.194.82.142","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","cnaop.gouv.fr/185.194.82.142","443","OK","offered","",""
"FS_ciphers","cnaop.gouv.fr/185.194.82.142","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","cnaop.gouv.fr/185.194.82.142","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","cnaop.gouv.fr/185.194.82.142","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","cnaop.gouv.fr/185.194.82.142","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cnaop.gouv.fr/185.194.82.142","443","INFO","yes","",""
"sessionresumption_ticket","cnaop.gouv.fr/185.194.82.142","443","INFO","not supported","",""
"sessionresumption_ID","cnaop.gouv.fr/185.194.82.142","443","INFO","supported","",""
