"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","HTTP","",""
"pre_128cipher","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","not offered","",""
"SSLv3","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","not offered","",""
"TLS1","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","LOW","offered (deprecated)","",""
"TLS1_1","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","LOW","offered (deprecated)","",""
"TLS1_2","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","offered","",""
"TLS1_3","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","not offered","",""
"cipherlist_NULL","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","offered","",""
"cipherlist_STRONG","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","offered","",""
"cipher_order-tls1","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","server","",""
"cipherorder_TLSv1","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","server","",""
"cipherorder_TLSv1_1","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","server","",""
"cipherorder_TLSv1_2","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","server","",""
"FS","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","offered","",""
"FS_ciphers","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","yes","",""
"sessionresumption_ticket","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","not supported","",""
"sessionresumption_ID","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","supported","",""
"TLS_timestamp","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","random","",""
"cert_compression","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","N/A","",""
"clientAuth","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","none","",""
"cert_numbers","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","1","",""
"cert_signatureAlgorithm","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","OK","SHA256 with RSA","",""
"cert_keySize","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","58F7290D79E8877DD80F1402709E52D4","",""
"cert_serialNumberLen","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","16","",""
"cert_fingerprintSHA1","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","529470EBB593AAA1F8E839508AD90F683AC256F0","",""
"cert_fingerprintSHA256","www.teleaccords.travail-emploi.gouv.fr/164.131.132.47","443","INFO","5DB40FD5AA2F9AD44642475C127106F0C9A7A85D2A6E612DFA9C341E7558D8F8","",""
