"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sports.gouv.fr/185.194.82.156","443","INFO","HTTP","",""
"pre_128cipher","sports.gouv.fr/185.194.82.156","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sports.gouv.fr/185.194.82.156","443","OK","not offered","",""
"SSLv3","sports.gouv.fr/185.194.82.156","443","OK","not offered","",""
"TLS1","sports.gouv.fr/185.194.82.156","443","INFO","not offered","",""
"TLS1_1","sports.gouv.fr/185.194.82.156","443","INFO","not offered","",""
"TLS1_2","sports.gouv.fr/185.194.82.156","443","OK","offered","",""
"TLS1_3","sports.gouv.fr/185.194.82.156","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","sports.gouv.fr/185.194.82.156","443","INFO","not offered","",""
"cipherlist_NULL","sports.gouv.fr/185.194.82.156","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sports.gouv.fr/185.194.82.156","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sports.gouv.fr/185.194.82.156","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sports.gouv.fr/185.194.82.156","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sports.gouv.fr/185.194.82.156","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","sports.gouv.fr/185.194.82.156","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","sports.gouv.fr/185.194.82.156","443","INFO","not offered","",""
"cipherlist_STRONG","sports.gouv.fr/185.194.82.156","443","OK","offered","",""
"cipherorder_TLSv1_2","sports.gouv.fr/185.194.82.156","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","sports.gouv.fr/185.194.82.156","443","OK","server","",""
"protocol_negotiated","sports.gouv.fr/185.194.82.156","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","sports.gouv.fr/185.194.82.156","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","sports.gouv.fr/185.194.82.156","443","OK","offered","",""
"FS_ciphers","sports.gouv.fr/185.194.82.156","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","sports.gouv.fr/185.194.82.156","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","sports.gouv.fr/185.194.82.156","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","sports.gouv.fr/185.194.82.156","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","sports.gouv.fr/185.194.82.156","443","INFO","yes","",""
"sessionresumption_ticket","sports.gouv.fr/185.194.82.156","443","INFO","not supported","",""
"sessionresumption_ID","sports.gouv.fr/185.194.82.156","443","INFO","supported","",""
"TLS_timestamp","sports.gouv.fr/185.194.82.156","443","INFO","random","",""
"cert_compression","sports.gouv.fr/185.194.82.156","443","INFO","N/A","",""
"clientAuth","sports.gouv.fr/185.194.82.156","443","INFO","none","",""
"cert_numbers","sports.gouv.fr/185.194.82.156","443","INFO","1","",""
"cert_signatureAlgorithm","sports.gouv.fr/185.194.82.156","443","OK","SHA256 with RSA","",""
"cert_keySize","sports.gouv.fr/185.194.82.156","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","sports.gouv.fr/185.194.82.156","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sports.gouv.fr/185.194.82.156","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","sports.gouv.fr/185.194.82.156","443","INFO","ABDB580369D241F7E5BD91DF53842994","",""
"cert_serialNumberLen","sports.gouv.fr/185.194.82.156","443","INFO","16","",""
"cert_fingerprintSHA1","sports.gouv.fr/185.194.82.156","443","INFO","53A227FA38F1466D76DAEA0DBDD26983E5C87FA5","",""
"cert_fingerprintSHA256","sports.gouv.fr/185.194.82.156","443","INFO","D2579C49B7C4D57D6B00726DD5E052EDD3C099CA6AD8D166467B730E745B9DF9","",""
