"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","savoirrouleravelo.fr/185.194.82.177","443","INFO","HTTP","",""
"pre_128cipher","savoirrouleravelo.fr/185.194.82.177","443","INFO","No 128 cipher limit bug","",""
"SSLv2","savoirrouleravelo.fr/185.194.82.177","443","OK","not offered","",""
"SSLv3","savoirrouleravelo.fr/185.194.82.177","443","OK","not offered","",""
"TLS1","savoirrouleravelo.fr/185.194.82.177","443","INFO","not offered","",""
"TLS1_1","savoirrouleravelo.fr/185.194.82.177","443","INFO","not offered","",""
"TLS1_2","savoirrouleravelo.fr/185.194.82.177","443","OK","offered","",""
"TLS1_3","savoirrouleravelo.fr/185.194.82.177","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","savoirrouleravelo.fr/185.194.82.177","443","INFO","not offered","",""
"cipherlist_NULL","savoirrouleravelo.fr/185.194.82.177","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","savoirrouleravelo.fr/185.194.82.177","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","savoirrouleravelo.fr/185.194.82.177","443","OK","not offered","","CWE-327"
"cipherlist_LOW","savoirrouleravelo.fr/185.194.82.177","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","savoirrouleravelo.fr/185.194.82.177","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","savoirrouleravelo.fr/185.194.82.177","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","savoirrouleravelo.fr/185.194.82.177","443","INFO","not offered","",""
"cipherlist_STRONG_FS","savoirrouleravelo.fr/185.194.82.177","443","OK","offered","",""
"cipher_order-tls1_2","savoirrouleravelo.fr/185.194.82.177","443","OK","server","",""
"cipherorder_TLSv1_2","savoirrouleravelo.fr/185.194.82.177","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","savoirrouleravelo.fr/185.194.82.177","443","OK","server","",""
"FS","savoirrouleravelo.fr/185.194.82.177","443","OK","offered","",""
"FS_ciphers","savoirrouleravelo.fr/185.194.82.177","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","savoirrouleravelo.fr/185.194.82.177","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","savoirrouleravelo.fr/185.194.82.177","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","savoirrouleravelo.fr/185.194.82.177","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","savoirrouleravelo.fr/185.194.82.177","443","INFO","yes","",""
"sessionresumption_ticket","savoirrouleravelo.fr/185.194.82.177","443","INFO","not supported","",""
"sessionresumption_ID","savoirrouleravelo.fr/185.194.82.177","443","INFO","supported","",""
"TLS_timestamp","savoirrouleravelo.fr/185.194.82.177","443","INFO","random","",""
"cert_compression","savoirrouleravelo.fr/185.194.82.177","443","INFO","N/A","",""
"clientAuth","savoirrouleravelo.fr/185.194.82.177","443","INFO","none","",""
"cert_numbers","savoirrouleravelo.fr/185.194.82.177","443","INFO","1","",""
"cert_signatureAlgorithm","savoirrouleravelo.fr/185.194.82.177","443","OK","SHA256 with RSA","",""
"cert_keySize","savoirrouleravelo.fr/185.194.82.177","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","savoirrouleravelo.fr/185.194.82.177","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","savoirrouleravelo.fr/185.194.82.177","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","savoirrouleravelo.fr/185.194.82.177","443","INFO","68504F95B1FE838693D8EA17A1D2B790","",""
"cert_serialNumberLen","savoirrouleravelo.fr/185.194.82.177","443","INFO","16","",""
