"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.cng.sante.fr/185.194.83.19","443","INFO","HTTP","",""
"pre_128cipher","www.cng.sante.fr/185.194.83.19","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.cng.sante.fr/185.194.83.19","443","OK","not offered","",""
"SSLv3","www.cng.sante.fr/185.194.83.19","443","OK","not offered","",""
"TLS1","www.cng.sante.fr/185.194.83.19","443","INFO","not offered","",""
"TLS1_1","www.cng.sante.fr/185.194.83.19","443","INFO","not offered","",""
"TLS1_2","www.cng.sante.fr/185.194.83.19","443","OK","offered","",""
"TLS1_3","www.cng.sante.fr/185.194.83.19","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.cng.sante.fr/185.194.83.19","443","INFO","not offered","",""
"cipherlist_NULL","www.cng.sante.fr/185.194.83.19","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.cng.sante.fr/185.194.83.19","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.cng.sante.fr/185.194.83.19","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.cng.sante.fr/185.194.83.19","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.cng.sante.fr/185.194.83.19","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.cng.sante.fr/185.194.83.19","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.cng.sante.fr/185.194.83.19","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.cng.sante.fr/185.194.83.19","443","OK","offered","",""
"cipher_order-tls1_2","www.cng.sante.fr/185.194.83.19","443","OK","server","",""
"cipherorder_TLSv1_2","www.cng.sante.fr/185.194.83.19","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.cng.sante.fr/185.194.83.19","443","OK","server","",""
"FS","www.cng.sante.fr/185.194.83.19","443","OK","offered","",""
"FS_ciphers","www.cng.sante.fr/185.194.83.19","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.cng.sante.fr/185.194.83.19","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.cng.sante.fr/185.194.83.19","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","www.cng.sante.fr/185.194.83.19","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.cng.sante.fr/185.194.83.19","443","INFO","yes","",""
"sessionresumption_ticket","www.cng.sante.fr/185.194.83.19","443","INFO","not supported","",""
"sessionresumption_ID","www.cng.sante.fr/185.194.83.19","443","INFO","supported","",""
"TLS_timestamp","www.cng.sante.fr/185.194.83.19","443","INFO","random","",""
"cert_compression","www.cng.sante.fr/185.194.83.19","443","INFO","N/A","",""
"clientAuth","www.cng.sante.fr/185.194.83.19","443","INFO","none","",""
"cert_numbers","www.cng.sante.fr/185.194.83.19","443","INFO","1","",""
"cert_signatureAlgorithm","www.cng.sante.fr/185.194.83.19","443","OK","SHA256 with RSA","",""
"cert_keySize","www.cng.sante.fr/185.194.83.19","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.cng.sante.fr/185.194.83.19","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.cng.sante.fr/185.194.83.19","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.cng.sante.fr/185.194.83.19","443","INFO","642B514E2A5197592DCEC743C063D2C4","",""
"cert_serialNumberLen","www.cng.sante.fr/185.194.83.19","443","INFO","16","",""
"cert_fingerprintSHA1","www.cng.sante.fr/185.194.83.19","443","INFO","556A3710EB62360F08805A448CBDBD290D45D73D","",""
"cert_fingerprintSHA256","www.cng.sante.fr/185.194.83.19","443","INFO","7A8147E2018A06B8FFBBAEC5E63C6026DA6C3369487F9A5DD70A784AEC5EEC80","",""
