"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","HTTP","",""
"pre_128cipher","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","No 128 cipher limit bug","",""
"SSLv2","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","not offered","",""
"SSLv3","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","not offered","",""
"TLS1","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","not offered","",""
"TLS1_1","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","not offered","",""
"TLS1_2","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","offered","",""
"TLS1_3","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","not offered","",""
"cipherlist_NULL","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","not offered","","CWE-327"
"cipherlist_LOW","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","not offered","",""
"cipherlist_STRONG","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","offered","",""
"cipherorder_TLSv1_2","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","server","",""
"protocol_negotiated","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","offered","",""
"FS_ciphers","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","intefp.travail-emploi.gouv.fr/185.194.82.71","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","yes","",""
"sessionresumption_ticket","intefp.travail-emploi.gouv.fr/185.194.82.71","443","INFO","not supported","",""
