"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","siicea.ars.sante.fr/185.194.82.62","443","INFO","HTTP","",""
"pre_128cipher","siicea.ars.sante.fr/185.194.82.62","443","INFO","No 128 cipher limit bug","",""
"SSLv2","siicea.ars.sante.fr/185.194.82.62","443","OK","not offered","",""
"SSLv3","siicea.ars.sante.fr/185.194.82.62","443","OK","not offered","",""
"TLS1","siicea.ars.sante.fr/185.194.82.62","443","INFO","not offered","",""
"TLS1_1","siicea.ars.sante.fr/185.194.82.62","443","INFO","not offered","",""
"TLS1_2","siicea.ars.sante.fr/185.194.82.62","443","OK","offered","",""
"TLS1_3","siicea.ars.sante.fr/185.194.82.62","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","siicea.ars.sante.fr/185.194.82.62","443","INFO","not offered","",""
"cipherlist_NULL","siicea.ars.sante.fr/185.194.82.62","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","siicea.ars.sante.fr/185.194.82.62","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","siicea.ars.sante.fr/185.194.82.62","443","OK","not offered","","CWE-327"
"cipherlist_LOW","siicea.ars.sante.fr/185.194.82.62","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","siicea.ars.sante.fr/185.194.82.62","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","siicea.ars.sante.fr/185.194.82.62","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","siicea.ars.sante.fr/185.194.82.62","443","INFO","not offered","",""
"cipherlist_STRONG_FS","siicea.ars.sante.fr/185.194.82.62","443","OK","offered","",""
"cipher_order-tls1_2","siicea.ars.sante.fr/185.194.82.62","443","OK","server","",""
"cipherorder_TLSv1_2","siicea.ars.sante.fr/185.194.82.62","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","siicea.ars.sante.fr/185.194.82.62","443","OK","server","",""
"FS","siicea.ars.sante.fr/185.194.82.62","443","OK","offered","",""
"FS_ciphers","siicea.ars.sante.fr/185.194.82.62","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","siicea.ars.sante.fr/185.194.82.62","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","siicea.ars.sante.fr/185.194.82.62","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","siicea.ars.sante.fr/185.194.82.62","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","siicea.ars.sante.fr/185.194.82.62","443","INFO","yes","",""
"sessionresumption_ticket","siicea.ars.sante.fr/185.194.82.62","443","INFO","not supported","",""
"sessionresumption_ID","siicea.ars.sante.fr/185.194.82.62","443","INFO","supported","",""
"TLS_timestamp","siicea.ars.sante.fr/185.194.82.62","443","INFO","random","",""
"cert_compression","siicea.ars.sante.fr/185.194.82.62","443","INFO","N/A","",""
"clientAuth","siicea.ars.sante.fr/185.194.82.62","443","INFO","none","",""
"cert_numbers","siicea.ars.sante.fr/185.194.82.62","443","INFO","1","",""
"cert_signatureAlgorithm","siicea.ars.sante.fr/185.194.82.62","443","OK","SHA256 with RSA","",""
"cert_keySize","siicea.ars.sante.fr/185.194.82.62","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","siicea.ars.sante.fr/185.194.82.62","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","siicea.ars.sante.fr/185.194.82.62","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","siicea.ars.sante.fr/185.194.82.62","443","INFO","141113C98AA62A16293BEFBD37F82952","",""
"cert_serialNumberLen","siicea.ars.sante.fr/185.194.82.62","443","INFO","16","",""
"cert_fingerprintSHA1","siicea.ars.sante.fr/185.194.82.62","443","INFO","484C2DA4DF652A4AFFB519C10DBF2C71324D4C00","",""
"cert_fingerprintSHA256","siicea.ars.sante.fr/185.194.82.62","443","INFO","5F7F249D21AA10AF22280741985FCAFCB4E441E718C3222C6BE32293CCFFDD2F","",""
